Nombre,�lt.,% Dif.,M�x.,M�n.,Volumen,Efectivo (miles �),Fecha
ACCIONA,"142,9000","0,35","145,8000","141,9000",115.726,"16.608,65",25/03/2021
ACERINOX,"11,1250","0,68","11,2150","11,0000",753.891,"8.400,44",25/03/2021
ACS,"28,2600","2,10","28,4200","27,6500",1.443.085,"40.647,48",25/03/2021
AENA,"138,3000","0,51","139,9000","136,5000",439.773,"60.774,60",25/03/2021
ALMIRALL,"12,9300","-0,92","13,2600","12,9100",481.030,"6.266,75",25/03/2021
AMADEUS,"60,3800","-0,33","61,2400","60,0400",813.502,"49.151,94",25/03/2021
ARCELORMIT.,"24,7100","1,08","25,1950","24,4650",661.527,"16.412,36",25/03/2021
B.SANTANDER,"2,8970","-1,51","2,9385","2,8860",44.093.608,"127.902,69",25/03/2021
BA.SABADELL,"0,4560","-3,88","0,4718","0,4551",40.345.950,"18.575,81",25/03/2021
BANKINTER,"5,9200","-1,95","6,0640","5,9140",2.730.832,"16.227,97",25/03/2021
BBVA,"4,4260","-1,62","4,5220","4,4260",12.792.146,"56.836,31",25/03/2021
CAIXABANK,"2,6390","-1,75","2,7000","2,6390",90.831.719,"240.349,11",25/03/2021
CELLNEX,"49,1000","4,25","49,7800","47,3100",3.828.089,"186.652,33",25/03/2021
CIE AUTOMOT.,"22,3200","-1,85","23,1000","22,2400",254.599,"5.717,94",25/03/2021
ENAGAS,"18,5200","0,22","18,6400","18,4100",1.118.189,"20.709,28",25/03/2021
ENDESA,"22,5600","-1,27","22,9000","22,5500",1.222.233,"27.649,02",25/03/2021
FERROVIAL,"22,2300","0,14","22,4600","22,0800",1.088.606,"24.258,24",25/03/2021
FLUIDRA,"24,3500","-1,22","25,1500","24,3500",393.704,"9.729,86",25/03/2021
GRIFOLS CL.A,"22,3300","-0,62","22,6900","22,2400",980.558,"21.948,50",25/03/2021
IAG,"2,3370","-0,89","2,3950","2,3250",12.241.308,"28.815,08",25/03/2021
IBERDROLA,"10,9850","0,83","10,9900","10,8700",21.660.732,"242.185,75",25/03/2021
INDITEX,"28,1000","-0,88","28,5300","28,0000",2.250.645,"63.300,96",25/03/2021
INDRA A,"7,4950","-0,66","7,6400","7,4950",786.272,"5.931,67",25/03/2021
INM.COLONIAL,"8,2550","-1,84","8,5250","8,2550",549.943,"4.574,70",25/03/2021
MAPFRE,"1,7760","-2,20","1,8270","1,7750",5.140.654,"9.187,55",25/03/2021
MELIA HOTELS,"6,3350","-1,71","6,4900","6,3300",983.016,"6.291,75",25/03/2021
MERLIN,"8,7200","-0,80","8,9000","8,7200",990.901,"8.680,94",25/03/2021
NATURGY,"20,9000","-0,05","20,9400","20,7600",885.676,"18.498,92",25/03/2021
PHARMA MAR,"98,9500","1,64","99,6000","97,0000",82.918,"8.192,12",25/03/2021
R.E.C.,"15,1000","1,14","15,2350","14,9050",3.249.524,"49.054,19",25/03/2021
REPSOL,"10,5600","-1,03","10,7750","10,5300",5.721.863,"60.630,28",25/03/2021
SIEMENS GAME,"33,0000","5,50","33,7600","31,2700",2.147.633,"70.769,50",25/03/2021
SOLARIA,"18,0800","0,89","18,6000","17,8800",1.148.838,"20.958,12",25/03/2021
TELEFONICA,"3,8170","-0,55","3,9240","3,8170",24.132.557,"92.948,13",25/03/2021
VISCOFAN,"58,9000","0,77","59,0500","57,8500",72.855,"4.286,54",25/03/2021
