Nombre,�lt.,% Dif.,M�x.,M�n.,Volumen,Efectivo (miles �),Fecha
ACCIONA,"138,0000","0,66","138,9000","134,6000",118.561,"16.251,87",22/03/2021
ACERINOX,"10,1950","-2,02","10,3850","10,1550",828.517,"8.463,94",22/03/2021
ACS,"26,0000","-1,89","26,5400","25,8400",762.991,"19.924,32",22/03/2021
AENA,"134,5000","-1,90","136,8000","133,6000",237.047,"31.976,34",22/03/2021
ALMIRALL,"12,1100","-2,34","12,4100","12,1100",667.913,"8.219,16",22/03/2021
AMADEUS,"57,5400","-1,71","58,0200","56,7200",2.307.857,"133.031,82",22/03/2021
ARCELORMIT.,"21,8450","-3,13","22,5250","21,7000",725.815,"15.989,14",22/03/2021
B.SANTANDER,"2,8600","0,62","2,8740","2,8135",34.284.672,"97.931,51",22/03/2021
BA.SABADELL,"0,4483","-0,82","0,4550","0,4400",40.526.738,"18.175,02",22/03/2021
BANKIA,"1,7500","1,57","1,7605","1,7075",5.844.519,"10.099,46",22/03/2021
BANKINTER,"5,7760","4,75","5,8280","5,4300",5.537.430,"31.230,08",22/03/2021
BBVA,"4,3370","0,46","4,3840","4,3010",24.111.447,"104.902,35",22/03/2021
CAIXABANK,"2,5560","1,43","2,5780","2,4970",7.610.548,"19.384,51",22/03/2021
CELLNEX,"45,1300","2,22","45,9200","44,1700",1.190.551,"53.830,63",22/03/2021
CIE AUTOMOT.,"22,2600","-2,02","22,7600","22,2600",169.534,"3.802,34",22/03/2021
ENAGAS,"18,3900","2,08","18,3900","17,9500",1.171.779,"21.504,84",22/03/2021
ENDESA,"22,5000","1,31","22,6600","21,9800",1.681.761,"37.561,67",22/03/2021
FERROVIAL,"21,0700","0,00","21,2400","20,7400",1.744.824,"36.668,83",22/03/2021
GRIFOLS CL.A,"22,2500","2,53","22,4000","21,7000",1.063.297,"23.598,48",22/03/2021
IAG,"2,1750","-4,81","2,2400","2,1500",43.573.810,"95.089,91",22/03/2021
IBERDROLA,"10,9900","1,85","11,0650","10,7350",15.151.989,"165.820,25",22/03/2021
INDITEX,"27,8300","1,72","27,9100","27,0500",2.852.029,"79.026,19",22/03/2021
INDRA A,"7,5250","-2,08","7,6850","7,5000",608.372,"4.596,47",22/03/2021
INM.COLONIAL,"8,0200","1,52","8,0200","7,8050",563.533,"4.484,83",22/03/2021
MAPFRE,"1,7310","-2,97","1,7840","1,7260",12.882.059,"22.667,90",22/03/2021
MELIA HOTELS,"6,3700","-3,19","6,5450","6,2750",1.240.631,"7.915,79",22/03/2021
MERLIN,"8,7600","1,15","8,8000","8,6100",589.096,"5.154,91",22/03/2021
NATURGY,"20,8700","0,97","21,0000","20,6600",13.879.264,"288.030,55",22/03/2021
PHARMA MAR,"100,6000","-1,57","103,1000","99,6000",86.702,"8.776,77",22/03/2021
R.E.C.,"14,5400","1,22","14,7600","14,3600",2.148.117,"31.260,20",22/03/2021
REPSOL,"10,4200","-1,33","10,5450","10,2500",12.606.604,"131.614,89",22/03/2021
SIEMENS GAME,"28,8000","0,98","29,2400","28,2300",1.841.549,"52.840,48",22/03/2021
SOLARIA,"18,5000","1,87","18,7700","17,8900",1.169.045,"21.593,16",22/03/2021
TELEFONICA,"4,0380","1,38","4,0560","3,9380",21.149.986,"84.634,16",22/03/2021
VISCOFAN,"57,6000","0,88","58,1500","57,0500",148.348,"8.508,86",22/03/2021
