Nombre,�lt.,% Dif.,M�x.,M�n.,Volumen,Efectivo (miles �),Fecha
ACCIONA,"143,7000","0,56","144,2000","141,9000",61.678,"8.816,90",26/03/2021
ACERINOX,"11,0350","-0,81","11,2200","11,0100",479.893,"5.344,07",26/03/2021
ACS,"28,2400","-0,07","28,5100","27,7400",444.103,"12.492,80",26/03/2021
AENA,"137,7500","-0,40","139,3000","137,1000",34.124,"4.714,66",26/03/2021
ALMIRALL,"12,5500","-2,94","12,9900","12,5300",335.392,"4.278,74",26/03/2021
AMADEUS,"60,6400","0,43","61,1400","60,0600",358.637,"21.737,73",26/03/2021
ARCELORMIT.,"24,5700","-0,57","25,1550","24,4650",360.553,"8.973,78",26/03/2021
B.SANTANDER,"2,8840","-0,45","2,9100","2,8675",13.681.309,"39.458,19",26/03/2021
BA.SABADELL,"0,4499","-1,34","0,4591","0,4445",21.718.349,"9.794,27",26/03/2021
BANKINTER,"5,8080","-1,89","5,9000","5,7640",1.138.056,"6.613,69",26/03/2021
BBVA,"4,4530","0,61","4,4840","4,4280",4.025.672,"17.935,58",26/03/2021
CAIXABANK,"2,5950","-1,67","2,6010","2,5620",29.678.854,"76.449,85",26/03/2021
CELLNEX,"44,5100","-2,13","45,4800","44,1300",1.171.124,"52.277,26",26/03/2021
CIE AUTOMOT.,"22,5400","0,99","22,7400","22,2000",44.485,"1.000,31",26/03/2021
ENAGAS,"18,4500","-0,38","18,5750","18,3650",173.236,"3.195,43",26/03/2021
ENDESA,"22,3400","-0,98","22,6000","22,2800",347.616,"7.780,19",26/03/2021
FERROVIAL,"22,4300","0,90","22,6500","22,2000",265.538,"5.953,18",26/03/2021
FLUIDRA,"24,5500","0,82","24,7000","24,3500",126.693,"3.108,37",26/03/2021
GRIFOLS CL.A,"22,6100","1,25","22,9500","22,4400",413.803,"9.393,97",26/03/2021
IAG,"2,4590","5,22","2,4600","2,3350",17.045.909,"41.261,85",26/03/2021
IBERDROLA,"11,0050","0,18","11,0350","10,8700",6.710.816,"73.731,55",26/03/2021
INDITEX,"28,2500","0,53","28,3400","28,0000",644.591,"18.167,77",26/03/2021
INDRA A,"7,5050","0,13","7,5450","7,4200",569.460,"4.256,97",26/03/2021
INM.COLONIAL,"8,2750","0,24","8,3800","8,1850",105.168,"869,38",26/03/2021
MAPFRE,"1,7665","-0,53","1,7815","1,7580",1.866.987,"3.306,22",26/03/2021
MELIA HOTELS,"6,4160","1,28","6,4460","6,3440",276.247,"1.768,79",26/03/2021
MERLIN,"8,8960","2,02","9,0660","8,7360",441.375,"3.941,30",26/03/2021
NATURGY,"20,8300","-0,33","20,9300","20,6600",164.477,"3.420,59",26/03/2021
PHARMA MAR,"97,6000","-1,36","100,3500","96,8000",55.504,"5.437,21",26/03/2021
R.E.C.,"14,9800","-0,79","15,1050","14,8600",377.535,"5.638,38",26/03/2021
REPSOL,"10,4560","-0,98","10,6300","10,4200",2.200.489,"23.118,50",26/03/2021
SIEMENS GAME,"32,3000","-2,12","33,1400","32,2300",424.288,"13.873,74",26/03/2021
SOLARIA,"18,6700","3,26","18,8800","17,9800",578.706,"10.747,89",26/03/2021
TELEFONICA,"3,8000","-0,45","3,8535","3,7815",8.592.732,"32.783,86",26/03/2021
VISCOFAN,"58,9000","0,00","59,1000","58,3500",29.177,"1.714,75",26/03/2021
