Nombre,�lt.,% Dif.,M�x.,M�n.,Volumen,Efectivo (miles �),Fecha
ACCIONA,"136,5000","-1,09","137,6000","136,0000",24.771,"3.391,30",23/03/2021
ACERINOX,"10,2800","0,83","10,3200","10,1150",171.161,"1.749,67",23/03/2021
ACS,"25,9200","-0,31","26,1600","25,6500",1.226.074,"31.823,17",23/03/2021
AENA,"136,0000","1,12","137,3000","132,6000",553.788,"74.315,65",23/03/2021
ALMIRALL,"11,9200","-1,57","12,0200","11,8000",209.923,"2.499,01",23/03/2021
AMADEUS,"57,4000","-0,24","58,3800","56,4400",234.720,"13.488,77",23/03/2021
ARCELORMIT.,"21,9250","0,37","21,9350","21,2950",376.052,"8.135,20",23/03/2021
B.SANTANDER,"2,8295","-1,07","2,8565","2,7730",30.293.778,"85.035,06",23/03/2021
BA.SABADELL,"0,4513","0,67","0,4537","0,4347",18.916.695,"8.405,44",23/03/2021
BANKIA,"1,7630","0,74","1,7710","1,7005",1.065.489,"1.852,36",23/03/2021
BANKINTER,"5,7600","-0,28","5,8100","5,6060",1.548.053,"8.831,07",23/03/2021
BBVA,"4,3330","-0,09","4,3590","4,2250",6.541.786,"28.016,70",23/03/2021
CAIXABANK,"2,5890","1,29","2,5900","2,4870",5.784.055,"14.728,77",23/03/2021
CELLNEX,"44,9800","-0,33","46,3000","44,9000",444.179,"20.191,44",23/03/2021
CIE AUTOMOT.,"21,6400","-2,79","22,4200","21,5800",124.912,"2.722,20",23/03/2021
ENAGAS,"18,1850","-1,11","18,3900","18,1300",253.710,"4.625,89",23/03/2021
ENDESA,"22,1900","-1,38","22,5200","22,1400",262.386,"5.853,58",23/03/2021
FERROVIAL,"21,6200","2,61","21,8100","20,9200",538.865,"11.557,22",23/03/2021
GRIFOLS CL.A,"22,0700","-0,81","22,4500","22,0300",353.444,"7.857,50",23/03/2021
IAG,"2,2360","2,80","2,2810","2,1020",21.987.752,"48.383,87",23/03/2021
IBERDROLA,"10,8200","-1,55","10,9800","10,8050",2.656.620,"28.921,53",23/03/2021
INDITEX,"27,5800","-0,90","27,7800","27,4000",530.618,"14.630,02",23/03/2021
INDRA A,"7,5200","-0,07","7,5700","7,4100",304.587,"2.283,49",23/03/2021
INM.COLONIAL,"8,0100","-0,12","8,0950","7,9300",77.249,"618,63",23/03/2021
MAPFRE,"1,7310","0,00","1,7450","1,7070",1.704.209,"2.936,57",23/03/2021
MELIA HOTELS,"6,3200","-0,78","6,4500","6,2050",670.118,"4.246,57",23/03/2021
MERLIN,"8,7300","-0,34","8,8000","8,6600",182.120,"1.592,57",23/03/2021
NATURGY,"20,8200","-0,24","20,9600","20,7400",1.614.443,"33.585,62",23/03/2021
PHARMA MAR,"98,6000","-1,99","100,5000","96,1000",93.863,"9.257,59",23/03/2021
R.E.C.,"14,5100","-0,21","14,6600","14,4350",295.976,"4.301,75",23/03/2021
REPSOL,"10,4650","0,43","10,5800","10,2650",2.542.254,"26.603,63",23/03/2021
SIEMENS GAME,"28,3400","-1,60","29,0800","28,2000",498.324,"14.257,55",23/03/2021
SOLARIA,"18,4500","-0,27","18,6200","18,1800",346.781,"6.381,05",23/03/2021
TELEFONICA,"3,9590","-1,96","4,0150","3,9250",26.590.790,"138.333,60",23/03/2021
VISCOFAN,"56,4000","-2,08","57,6000","56,4000",16.766,"953,93",23/03/2021
